《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
麻烦你给我介绍一下《红楼梦》好吗？	中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本	日期
《犯罪学》全书一共多少个字？	471000	数字
机动战士敢达 seed astray的名称是什么？	机动战士敢达 seed astray	歌曲
李尔王属于什么级别？	finland:s	单位
古巨基的配偶叫什么？	陈英雪	助手兼女友
你知道tcp/ip详解卷1：协议（英文版·第2版）的原名是什么吗？	tcp/ip illustrated, volume 1 the protocols, second edition	单位
你知道萨博的生日是什么时候吗？	1987-02-26	日期
2001年特拉万卡有多少人？	248	数字
《华山论剑》在哪个平台上？	pc pc pc	英文名
金黄甘薯脯是利用什么工艺做的？	煮	字词
温泉镇有个什么机场？	威海国际机场	地点
红的制作人是谁？	和平之月	歌曲
黔城人才网网站的名称是什么？	黔城人才网	网站
tr的全称是什么？	terres reres	英文名
月季花二名法是什么？	rosa chinensis jacquem.	英文名
博略是什么区？	vire	英文名
华硕eahg4670酷翼版的芯片厂商是哪里？	atin	英文名
王军出生在哪里？	中国天津	历史
奥康集团有限公司在哪里成立的？	浙江	行政区划
西游记是什么时候首播的？	2010年1月3日	日期
莫亚自治区是哪里？	加那利群岛	地点
htc是什么样的组织形式呢？	股份制	公司
你知道业个怎么读吗？	yē ge	单位
龙泉镇建立的时间是什么时候？	公元700年	日期
是谁监制了射雕英雄传呢？	王天林	人物
小米手机3是什么时候发布的？	2013-09-05	日期
海王星距太阳最近有多远？	4,452,940,833km	单位
fantasy的专辑语言是哪种？	日语	语言
海王星距太阳最远有多远？	4,553,946,490km	单位
2008年诺基亚有多少员工？	128,445（2008年底）	日期
微星k8t neo2-f主芯片组是什么样的？	via k8t800pro	单位
你知道地球半长轴的长度吗？	149,597,887.5km	单位
博略的大区是什么？	下诺曼底	地点
大河边村的国土面积多大？	6.53平方公里	单位
小行星615发现地是哪里？	海德堡	地点
游敏是什么时候出生的？	1958年7月	日期
恒大金碧天下有哪些建筑形式？	联排 独栋 双拼	文学作品
pny 8800u 显卡芯片是什么样的呢？	geforce 8800 ultra	单位
截拳道创立于什么时候？	1967年5月	日期
城关镇有什么著名景点？	悬鼓观 黄山公园	景点
华夏银行注册资本是多少？	68亿元	单位
中国十大瀑布包括哪些？	贵州黄果树瀑布	景观景点
房屋风水学属于什么系列丛书？	国际大师风水系列	书籍
河北金融学院的主管部门是什么？	河北省人民政府	词语
东北凉菜菜名是什么？	凉菜	食品
有什么关于新党的基本资料？	1993年8月10日（21年165天） 台北市	日期
nsk 22313轴承的外径有多大？	65mm	单位
jerry有多高？	183公分	单位
梅林传奇的官方网站是什么？	http://www.bbc.co.uk/merlin/	单位
你知道个人存款帐户的种类吗？	个人银行结算账户	银行
你知道砖庙村属于哪个市吗？	运城市	地点
阳江市审计局内设了什么机构？	办公室	名词
你知道铔的部首有几画吗？	5	数字
你知道石膏的化学式吗？	caso4·nh2o	单位
2014年克里米亚危机发生在什么时候？	2014年2月23日－现在 （7月3周）	日期
觅仙路写到哪里了？	完结	字词
你知道lg集团的网址吗？	http://www.lg.net	单位
你知道高等教育研究的创刊时间吗？	1984年	日期
技嘉ga-ma69g-s3h的cpu插槽是什么？	am2 940	单位
民主党的总部在哪里？	430 south capitol street se 华盛顿哥伦比亚特区 20003	歌曲
联邦星舰进取号现在处于什么状态？	退役	字词
立风超市收银系统是哪个版本的？	windows2000	单位
张杰活跃在什么年代？	2004年－至今	日期
《人物》的主办单位是哪家？	time warner 媒体集团	人物
不逊的繁体字怎么写呢？	不逊	字词
thinkpad x230 232045c是什么处理器型号的？	intel 酷睿 i5 3360m	公司
你知道佐佐木望用日语怎么写吗？	佐々木 望	字词
柱七的径向速度是多少？	-0.2 km/s	单位
歇后语是哪种语种里的？	汉语	语言术语
神道的平文式罗马字怎么写呢？	shintō	单位
维生素d3属于什么剂型？	滴剂	字词
是谁导演了巴斯克维尔的猎犬？	maurice elvey	英文名
正睿i2tw2-4638(xeon e5-2609/4gb/500gb/quadro 600)的显示内存是多少？	500gb	单位
你知道trilogi的项目位置吗？	caydon properties	英文名
很纯很暧昧最先在哪个网站发行？	起点中文网	小说
2009年埃克有多少人？	352	数字
克里米亚属于哪个国家？	俄罗斯联邦	地点
hp jornada 720处理器主频是多少？	206(mhz)	单位
西河有多长？	61.8 公里	单位
《科学》多长时间出版一期？	周刊	词语
你知道白云山门票多少钱吗？	80元	单位
《父亲》属于哪个电影等级？	argentina:13，chile:14，france:u	单位
暴风雨是什么时候上映发行的？	1979年9月13日	日期
三星nighteffect手机属于什么类型？	音乐手机	手机
php动态网站开发哪种纸张？	胶版纸	工业产品
新世界四季御园属哪个板块？	罗湖   莲塘	地点
金牌大风的产业是什么？	唱片制作发行 音乐版权 电影制作	人物
技嘉ga-b75m-d2v的内存是什么类型的？	lga 1155	单位
巴斯克维尔的猎犬的主演是谁？	eille norwood	英文名
龙潭水库什么时候完工的？	1984年	日期
netgear rnd4210的硬盘容量是多少？	4	数字
nsk 51217轴承有多厚？	125mm	单位
蔡依林是什么教育程度的？	台北市立景美女中 私立天主教辅仁大学英国语文学系学士	组织机构
四川师范大学有哪些知名校友？	欧泽高、杨泉明、李言荣、李承鹏  李易峰	人物
高峰擅长什么运动？	柔道	体育项目
阿里郎是哪个地区的歌曲呢？	朝鲜	行政区划
武汉大学学报（医学版）在咱们国内的刊号是多少呢？	cn42-1677/r	单位
我想问一下多沦落猛龙队是啥时候建立的？	1980年	日期
谁知道巴斯克维尔的猎犬是谁拍摄的？	james welland	英文名
新版的《神雕侠侣》制片人是谁啊？	张纪中	制片人
请问htc one发布会是啥时候？	2014年3月25日，10个月前	日期
无花果按分类来说的话属于哪个亚属？	无花果亚属	植物
勾股定理是谁提出的？	毕达哥拉斯	历史人物
孙中山卸任后谁取代了他的位置？	袁世凯	人物
日本国旗是从什么时候开始用的？	1999年8月13日（法定）	日期
长沙站是几级的车站啊？	一等站	词语
白色情人节在中国被称为什么？	白色情人节	单曲
《人物》何时创刊？	1974年	日期
美女与野兽什么时候拍的？	2012年11月	日期
神雕侠侣由谁作曲？	周华健	人物
亚历山大一世的父亲是谁？	保罗一世	人物
minecraft的最新版本有哪些？	pc：1.8.1 tv：0.9.5 android：0.10.5 ios：0.10.5	单位
琼山中学属于什么类型的学校？	省一级学校 市重点中学	学校
索尼 affm是什么网络模式？	gsm，wcdma	单位
尼康p5100的产品有多重？	约 200 g	书籍
许诺多重？	62kg	单位
辛烷的cas号是多少？	583-48-2	日期
龙泉镇有什么其他的名字？	王店镇	地点
宠物情人现在的连载状态如何？	2000年开始连载至2005年完结	日期
延冈市的罗马拼音是什么？	no be o ka si	英文名
死亡日记的配乐作曲叫什么？	air	英文名
哈姆雷特的剪辑叫什么？	girish bhargava	英文名
小米手机3的处理器是什么？	nvidia tegra4(t)和骁龙800(w/c)	公司
苹果在哪年由谁命名的？	mill.，1768;	单位
地狱少女由谁写的？	永远幸	书籍
橡树湾有多少住户？	5400	数字
回转式刮泥机是什么结构？	桥架	词语
望夫石是什么体裁的？	五绝	文学形象
acer x1211k使用什么投影技术？	dlp	英文名
空之境界何时上映？	2007年12月1日	日期
全美超级模特儿新秀大赛何时播出？	2009年3月4日－2009年（美国）	日期
河麂又被叫做什么？	獐子 黄子 香獐 马獐 麝、土麝 河麂	字词
做你的男人是什么语？	国语	字词
上海市儿童医院是什么类型的医院？	儿科医院	组织机构
蓝影人逃上天的具体操作指南是？	加载完毕点击start game	字词
五铢钱是什么单位的？	货币	契约
杜甫祖籍在哪？	湖北襄阳	城市
西北大学的校长是谁？	morton o. schapiro	单位
白冰的母校是哪里？	中共中央党校 西北师范大学	人物
德生cr-1100dsp的外形尺寸如何？	258*148*63mm	单位
天翼日程什么时候更新的？	2014-06-08	日期
巴斯克维尔的猎犬由谁编剧？	carla von stackelberg	英文名
华纳我爱经典系列有多少曲目？	15	数字
城关镇的电话区码是多少？	736	数字
中国风站是什么类型的软件？	绿色软件	软件
马科斯·儒尼奥尔·利马·多斯·桑托斯在球场上是什么位置的？	前锋	人物
渡良濑准是男是女？	男	性别
溪口镇有多大？	220.72平方公里	单位
飞魔幻的国际刊号是多少？	cn41-1357/i	单位
《忘忧草》由谁演唱？	周华健	人物
精忠岳飞由谁运营？	欢乐园游戏	游戏
kty84温度传感器有哪些特性？	精度等级 0.5%	人物
春丽有哪些作品？	《街头霸王》	游戏
htc one何时上市的？	2014年6月	日期
想你由谁演唱？	张国荣	人物
氢氧化钾的cas登录号是多少？	1310-58-3	日期
下寨自然村的年降水量是多少？	1230毫米	单位
文峰塔什么时候建造的？	宋代	朝代
越南战争在哪发生的？	越南	外国行政区划
城关镇的邮编区码是多少？	415200	数字
新华路有多长？	1060米	单位
比亚迪有多少员工？	164177（2014年）	日期
《最游记》最主要的角色有谁？	玩家	术语
聂氏字辈属于哪个范围？	四川省大部	字词
剑子仙迹属于哪个星座？	双子座	黄道星座
线性代数的书号是多少？	36843	数字
室宿二有多亮？	1500 l☉	历史
石家庄阳光格瑞酒店距火车站有多远？	7.7公里	单位
大争之世完成时有多少字？	1452757	数字
凤凰山在什么地方？	辽宁凤城	地点
西游记属于哪个国家？	中国大陆	地点
河南天地粤海酒店离机场有多远？	新郑国际机场 38公里	地点
广德公主有哪些亲属？	明英宗	皇帝
阳光海岸在哪个地方？	上城 南星	地点
太平桥有多宽？	2.5米	单位
深圳市博爱医院属于什么类型的医院？	综合医院	词语
zte-c s160的网络频率如何？	cdma 800mhz	单位
城关镇的gdp是多少亿？	8.679亿	单位
王军属于哪个青年队？	天津队	字词
溪口镇有多少人？	2.42万（2012年）	日期
华南虎属于什么科？	豹亚科	动物
最终试练的单击分类是什么？	单机游戏	游戏
万科城市花园属于什么板块？	住宅	词语
索尼爱立信t650c有哪些可选颜色？	gsm/gprs	单位
口腔修复属于哪个科室？	五官科 - 口腔科	药品
中国2010年上海世界博览会有哪些主题？	城市，让生活更美好better city, better life	食品
深圳市博爱医院是什么性质的医院？	股份制	公司
cad教程是什么版次的？	第一版	书籍
茶花女在哪里出版？	法国	地点
gba在什么时候发售的？	日本－2001年3月21日	日期
《生化危机》属于什么类别的游戏？	小游戏	游戏
隋宫使用的什么题材？	咏史怀古诗	文学作品
少女时代什么时候出道的？	2007年8月5日	日期
三星kfr-25gw/wca的空调是什么类型的？	壁挂式空调	空调
妮可·罗宾是什么职位？	草帽海贼团考古学家	人物
勾股定理什么时候提出的？	公元前550年	日期
空之境界是谁写的？	奈须蘑菇	人物
潘春春的三围如何？	95、 59、 90	字词
小棕块进火坑如何开始的？	play game - 然后点击start game	字词
安兔兔评测什么时候更新？	2015-1-9	日期
白石站的车站什么构造？	地面车站	地点
万科金域华府多少钱一平方米？	8300 元/㎡	单位
类胡萝卜识别码是多少？	116-31-4	日期
企业资源计划有多少页？	392	数字
海地人是什么种族的？	蛤蟆人	人物
请告诉我中山公园站的具体坐标是多少？	31°13′11″n 121°24′39″e / 31.21972°n 121.41083°e	单位
一槌定音的近义词是什么？	一锤定音	字词
民国四大美女属于哪个年代？	民国	历史
坦克世界：将军由哪里开发？	wargaming	英文名
岛耕作在什么时期连载？	1983年－1992年	日期
白石站什么时候启用的？	1903年（明治36年）4月21日	日期
兰多夫属于哪个运动队？	丹佛掘金队	职业篮球队
2014年意大利世界女子排球锦标赛什么时候举办的？	2014年9月23日 ~ 10月12日	日期
五诸侯一的是视差是多少？	0.03 mas	单位
时空猎人是什么游戏版本？	5.0 电脑版1.0	音乐作品
纵贯线的技术数据是多少？	399.8公里	单位
城区的行政代码是多少？	140202	数字
松讯达ts813的尺寸和体积有多少？	11.25×51×15.5mm	单位
汽车文化是多少开的？	16 开	字词
三星galaxy mega 5.8的cpu频率如何？	1741mhz	单位
迅扬5830的机箱是什么类型的？	台式机箱 （中塔）	机箱
计算机应用基础有多少字？	470千	单位
裂鬼是什么类型的小说？	悬疑小说	小说
h-iia运载火箭有多高？	53米	单位
硒密度如何？	4.81g/cm³	单位
铑什么时候被发现的？	1803年	日期
佐佐木望是什么血型的？	o型	房产搜索软件
成都第二国际机场属于哪个市？	简阳市	地点
成都中医药大学附院针灸学校何时创建的？	1960年（庚子年）	日期
疯狂的麦咭属于哪个国家的？	中国	历史
胡安·阿兰戈是哪个国家队的？	120	数字
东莞市石龙亨通五金厂的法人代表叫什么？	李刚	人物
真 · 巨武器破坏者护肩需要多少等级？	57	数字
sv-98狙击步枪是多大的口径？	7.62mm	单位
黄勇是什么学位的？	工学学士	人物
万达广场在哪个城市？	哈尔滨市	省会
robotics;notes 机器人笔记在哪个杂志连载？	月刊comic blade	电影
巴斯克维尔的猎犬的英文片名是什么？	soviet union:154 min	单位
丰富衣橱2是什么类型的游戏？	装扮小游戏	游戏
魔迷曦月是什么类型的小说？	奇幻	小说
新湖香格里拉是什么类型的建筑？	联排 独栋	文学作品
铔用五笔怎么输入？》	qgog	英文名
名校使用什么语言？	国语	字词
月光由谁演唱？	徐良l 阿悄	人物
雷霆之怒，逐风者的祝福之剑属于何等物品等级？	80	数字
开封县第一人民医院属于哪种等级的医院？	二级甲等	组织机构
微机原理与接口技术何时印刷？	2008-5-1	日期
纸牌12合1属于什么软件类型？	完全免费	游戏
天主教维多利亚教区的基本资讯如何？	加拿大	地点
香港信贷的主要上市市场是哪里？	香港交易所	词语
中国国家足球队的外文队名叫什么？	china national football team	英文名
fag 32926圆锥滚子轴承使用哪种型号？	32926	数字
南昌工程学院简称什么？	昌工	组织机构
流氓高手总的点击率怎么样？	14384590	数字
swot分析法应用哪些领域？	各个领域	领域
惠普 hp com1600 4400毫安笔记本电池属于什么类型？	锂离子电池	科技产品
红在哪里录制的？	nashville (blackbird studios, pain in the art studios); 洛杉矶 (ballroom west, conway studios, enormous studios, the village); north hollywood (marlay studio); topanga canyon (the garage); santa monica (ruby red productions); 斯德哥尔摩 (mxm studios)	地点
上海市建筑市场管理条例何时通过的？	2014年7月25日	日期
自由党的主席是谁？	周梁淑怡	人物
承德避暑山庄何时修建？	1703年	日期
西湖有多大？	6.39平方千米	单位
的的喀喀湖有多高？	3812米	单位
腾讯由谁创办？	马化腾	人物
淡定哥出了什么事儿？	交通事故	法律术语
中华人民共和国行政诉讼法何时施行的？	2015年5月1日	日期
丰富衣橱2的游戏有多大？	2065k	单位
益友螺旋藻有哪些成分？	蛋 白 质: 55-70g	人物
孙建军是什么职位？	教授	人物
西湖在哪个地区？	湖北省黄冈市	地点
三剑客有什么颜色？	彩色	词语
月光的mv导演是谁？	彭宥纶	人物
htc one有多大内存？	rom: 16 gb, ram: 2 gb	单位
桑佛大学的网址是？	http://www.samford.edu/	单位
鲁大师由谁开发？	鲁锦	文物古迹
越南战争的指挥官和领导者分别是谁？	胡志明 黎笋 武元甲 文进勇 黎仲迅 范文同 黄文泰（英语：hoàng văn thái） 陈文茶（英语：trần văn trà） 阮文灵 阮友寿 ...及其他（英语：leaders of the vietnam war）	人物
网上检索引擎如何工作？	全文搜索引擎	网站
仙魔变的标签有哪些？	动作 对战 英雄	词语
贸易自由化原则遵循什么原则？	关税减让原则	经济人物
贝复舒滴眼液的主要成分是？	重组牛碱性成纤维细胞生长因子	药品
the wanted有哪些成员？	max	英文名
